gnd,painter_name,cbdd_works,bi_works
https://d-nb.info/gnd/104134368X,"Gout, Jean François",2,3
https://d-nb.info/gnd/117760846,"Albrecht (Sachsen-Coburg, Herzog)",2,15
https://d-nb.info/gnd/118657879,"Beer, Michael (1)",2,9
https://d-nb.info/gnd/118651749,"Bähr, George",2,8
https://d-nb.info/gnd/129736376,"Gundermann, Christian Wilhelm",2,23
https://d-nb.info/gnd/1034727877,"Kroll von Freyen, Johann Anton",2,11
https://d-nb.info/gnd/118676075,"Christian (Sachsen, Kurfürst, 1)",2,2
https://d-nb.info/gnd/1137219041,"Bose, Carl Gottlob von",2,3
https://d-nb.info/gnd/124786634,"Hoppenhaupt, Johann Michael (2)",2,10
https://d-nb.info/gnd/116179252,"Pictorius, Gottfried Laurenz",2,55
https://d-nb.info/gnd/118579355,"Maximilian (Bayern, Kurfürst, 1)",2,6
https://d-nb.info/gnd/133304086,"Spreckelsen, Johann von",2,7
https://d-nb.info/gnd/1034923889,"Koppers, Johann Anton",2,9
https://d-nb.info/gnd/119549999,"Bernhard (Sachsen-Meiningen, Herzog, 1)",2,16
https://d-nb.info/gnd/118729187,"Schönborn, Lothar Franz von (Mainz, Kurfürst)",2,90
https://d-nb.info/gnd/121467961,"Henriette Katharina (Anhalt-Dessau, Fürstin)",2,1
https://d-nb.info/gnd/135913527,"Köpf, Christian Georg von",2,4
https://d-nb.info/gnd/130646997,"Albini, Rudolf",2,9
https://d-nb.info/gnd/103466008X,"Peltier de Belfort, Martin",2,2
https://d-nb.info/gnd/119541394,"Bussi, Carlo Antonio",2,6
https://d-nb.info/gnd/11870351X,"Fugger, Johannes",2,2
https://d-nb.info/gnd/119204940,"Thurn und Taxis, Karl Anselm (Fürst)",18,5
https://d-nb.info/gnd/118758349,"Tischbein, Johann Heinrich (der Ältere)",18,238
https://d-nb.info/gnd/121473538,"Wunder, Wilhelm Ernst",18,18
https://d-nb.info/gnd/119369303,"Schwarz, Christoph",18,12
https://d-nb.info/gnd/118647571,"Albrecht (Bayern, Herzog, 5)",18,1
https://d-nb.info/gnd/121009084,"Bocksberger, Johann Melchior (der Jüngere)",18,16
https://d-nb.info/gnd/122184831,"Appiani, Joseph Ignaz",18,96
https://d-nb.info/gnd/141463716,"Gebhard, Johann Jakob",18,57
https://d-nb.info/gnd/103490745X,"Hopffe, Johann",17,9
https://d-nb.info/gnd/118687441,"Eberhard Ludwig (Württemberg, Herzog)",17,510
https://d-nb.info/gnd/102111847,"Christian Ludwig (Mecklenburg-Schwerin, Herzog, 2)",17,4
https://d-nb.info/gnd/130249424,"Friedrich (Hessen-Kassel, Landgraf, 2)",17,16
https://d-nb.info/gnd/1041973659,"Rigl, Vitus Felix",16,26
https://d-nb.info/gnd/119258862,"Gotter, Gustav Adolf (Graf)",16,20
https://d-nb.info/gnd/133854027,"Baron, Karl Christian Wilhelm",16,2
https://d-nb.info/gnd/118579436,"Maximilian Joseph (Bayern, Kurfürst, 3)",16,7
https://d-nb.info/gnd/116179260,"Pictorius, Johann Martin",16,17
https://d-nb.info/gnd/118549286,"Henriette Adelaide (Bayern, Kurfürstin)",15,7
https://d-nb.info/gnd/119046415,"Hohenlohe-Neuenstein-Weikersheim, Wolfgang (Graf)",15,113
https://d-nb.info/gnd/118560115,"Karl (Heiliges Römisches Reich, Kaiser, 7)",15,6
https://d-nb.info/gnd/115865497,"Heinrich Friedrich (Hohenlohe-Langenburg, Graf)",15,20
https://d-nb.info/gnd/116579625,"Franz Konrad (Konstanz, Bischof)",14,12
https://d-nb.info/gnd/119531720,"Maria Elisabeth Augusta (Kurpfalz-Bayern, Kurfürstin)",14,8
https://d-nb.info/gnd/120841002,"Gebhard, Johann (1676)",14,15
https://d-nb.info/gnd/118535986,"Friedrich Wilhelm (Preußen, König, 3)",14,6
https://d-nb.info/gnd/118633112,"Wilhelmine (Brandenburg-Bayreuth, Markgräfin)",14,68
https://d-nb.info/gnd/117397636,"Simon (Lippe, Graf, 6)",14,1
https://d-nb.info/gnd/118564420,"Königsfeld, Johann Georg von (Reichsgraf, 2)",138,48
https://d-nb.info/gnd/137127081,"Paur, Ignaz",13,12
https://d-nb.info/gnd/13705811X,"Königsegg-Rothenfels, Christian Moritz Eugen von",13,9
https://d-nb.info/gnd/118712411,"Johann Wilhelm (Pfalz-Neuburg, Kurfürst)",13,32
https://d-nb.info/gnd/118560190,"Karl Theodor (Kurpfalz-Bayern, Kurfürst)",13,19
https://d-nb.info/gnd/118607936,"Schlaun, Johann Conrad",12,4
https://d-nb.info/gnd/11897131X,"Franz Ludwig <Mainz, Erzbischof>",12,23
https://d-nb.info/gnd/118866109,"Heigl, Martin",12,36
https://d-nb.info/gnd/129271713,"Zimmermann, Franz Michael",12,28
https://d-nb.info/gnd/1012382532,"Messmer, Johann Georg",12,16
https://d-nb.info/gnd/100507425,"Leopold Ernst (Passau, Bischof)",12,16
https://d-nb.info/gnd/116956097,"Hohenlohe-Weikersheim, Carl Ludwig von (Graf)",11,18
https://d-nb.info/gnd/123469848,"Königsfeld, Johann Georg von (Reichsgraf, 1)",11,9
https://d-nb.info/gnd/122656849,"Silvestre, Louis (der Jüngere)",11,8
https://d-nb.info/gnd/104226854,"Plettenberg, Friedrich Christian von",11,1
https://d-nb.info/gnd/133473503,"Castelli, Giovanni Pietro",10,40
https://d-nb.info/gnd/1059874938,"Cometa, Bartholomäus",10,1
https://d-nb.info/gnd/119314002,"Friedrich (Sachsen-Gotha-Altenburg, Herzog, 3)",10,2
https://d-nb.info/gnd/136026133,Friedrich Karl (Schleswig-Holstein-Sonderburg-Plön),10,14
https://d-nb.info/gnd/1018349464,"Seekatz, Georg Christian (1)",10,1
https://d-nb.info/gnd/137151276,"Schreyer, Gabriel",10,25
https://d-nb.info/gnd/104207272,"Ernst August (Hannover, Kurfürst, 2)",10,1
https://d-nb.info/gnd/119244292,"Ernst (Holstein-Schaumburg, Graf)",10,87
https://d-nb.info/gnd/1017286043,"Velde, Florenz von dem",1,1
https://d-nb.info/gnd/130128783,"Straßburger, Johann Erhard",1,1
https://d-nb.info/gnd/135735289,"Dehn-Rothfelser, Hans von",1,3
https://d-nb.info/gnd/122787676,"Wiedemann, Christian (1680)",1,8
https://d-nb.info/gnd/123195624,"Riva, Antonio (1675)",1,6
https://d-nb.info/gnd/138693137,"Parr, Christoph",1,4
https://d-nb.info/gnd/129102547,"Egell, Augustin",1,1
https://d-nb.info/gnd/137875940,"Luchese, Alberto",1,2
https://d-nb.info/gnd/129706434,"Christian Ernst (Sachsen-Coburg-Saalfeld, Herzog)",1,8
https://d-nb.info/gnd/1194882390,"Beringer, Wilhelm",1,7
https://d-nb.info/gnd/128519649,"Schmuzer, Mathias (1634)",1,15
https://d-nb.info/gnd/1034668730,"Bedogni, Lorenzo",1,5
https://d-nb.info/gnd/1034676261,"Cadart, Marius",1,1
https://d-nb.info/gnd/119381745,"Wullekopf, Ernst",1,11
https://d-nb.info/gnd/124768776,"Thola, Gabriel de",1,1
https://d-nb.info/gnd/129161691,"Scheppig, Karl Friedrich August",1,1
https://d-nb.info/gnd/118693514,"Friedrich (Pfalz, Kurfürst, 1, der Streitbare)",1,2
https://d-nb.info/gnd/120679418,"Manninger, Karl",1,1
https://d-nb.info/gnd/11695499X,"Hohenlohe-Neuenstein-Oehringen, Johann Friedrich (Fürst)",1,2
https://d-nb.info/gnd/118974459,"Feichtmayr, Michael",1,150
https://d-nb.info/gnd/123617057,"Ziesenis, Johann Friedrich Blasius",1,24
https://d-nb.info/gnd/121751597,"Brandin, Philipp",1,3
https://d-nb.info/gnd/141778237,"Henriette Marie (Württemberg, Erbprinzessin)",1,6
https://d-nb.info/gnd/130359750,"Wiedemann, Michael",1,29
https://d-nb.info/gnd/119113007,"Georg Wilhelm (Brandenburg-Bayreuth, Markgraf)",1,41
https://d-nb.info/gnd/118810944,"Ernst (Braunschweig-Lüneburg, Herzog, 1)",1,1
https://d-nb.info/gnd/118751530,"Sophie Charlotte (Preußen, Königin)",1,39
https://d-nb.info/gnd/1033145963,"Scheubel, Joseph (1686)",1,20
https://d-nb.info/gnd/13759206X,"Hoeder, Friedrich Wilhelm",1,1
https://d-nb.info/gnd/123274249,"Pfaff, Sebastian",1,45
https://d-nb.info/gnd/129249203,"Schneidmann, Andreas",1,8
https://d-nb.info/gnd/124789498,"Leydel, Johann Georg",1,3
https://d-nb.info/gnd/13714105X,"Schöttl, Albert",1,4
https://d-nb.info/gnd/129114189,"Holl, Hans",1,1
https://d-nb.info/gnd/1035177080,"Westermann, Brand",1,19
https://d-nb.info/gnd/13869317X,"Parr, Franciscus",1,7
https://d-nb.info/gnd/121856933,"Rousseau, Franz",1,3
https://d-nb.info/gnd/136232124,"Retti, Paolo",1,99
https://d-nb.info/gnd/122062345,"Eleonora Magdalena <Hohenlohe-Langenburg, Gräfin>",1,1
https://d-nb.info/gnd/129102938,"Eschay, Jakob",1,3
https://d-nb.info/gnd/118692895,"Franz (Braunschweig-Lüneburg-Celle, Herzog)",1,3
https://d-nb.info/gnd/118892517,"Roth, Heinrich",1,3
https://d-nb.info/gnd/13731759X,"Rembert (Paderborn, Bischof)",1,7
https://d-nb.info/gnd/1089585047,"Pictorius, Peter (der Jüngere)",1,41
https://d-nb.info/gnd/123929288,"Gromann, Nikolaus",1,18
https://d-nb.info/gnd/128495464,"Carbonetti, Domenico",1,10
https://d-nb.info/gnd/119117304,"Ferdinand (Tirol, Erzherzog)",1,1
https://d-nb.info/gnd/188467718,"Rousseau, Johann Jakob",1,14
https://d-nb.info/gnd/1038028922,"Pickhardt, Johann Georg",1,12
https://d-nb.info/gnd/129656747,"Boumann, Michael Philipp Daniel",1,9
https://d-nb.info/gnd/118919156,"Hardenberg, Friedrich Karl von",1,1
https://d-nb.info/gnd/136838200,"Hainhofer, Melchior von",1,3
https://d-nb.info/gnd/102111588,"Johann Georg (Brandenburg, Kurfürst)",1,1
https://d-nb.info/gnd/128501731,"Boyneburg, Hans Jost von",1,2
https://d-nb.info/gnd/118678264,"Dieffenbrunner, Georg",1,7
