gnd_uri,gnd_id,cbdd_building,cbdd_item_url,bildindex_items_count
https://d-nb.info/gnd/4515443-0,4515443-0,"Erfurt-Molsdorf, Schloss Molsdorf",https://www.deckenmalerei.eu/d8b1d957-c2a8-4113-b3ec-3c20d0414ed0,15
https://d-nb.info/gnd/4112706-7,4112706-7,"Düsseldorf, Neues Schloss Benrath",https://www.deckenmalerei.eu/be7c98e8-d7e4-4e9d-9195-b70620e1474d,15
https://d-nb.info/gnd/4654727-7,4654727-7,"Bichl, Filialkirche St. Georg",https://www.deckenmalerei.eu/e3f8967e-9e96-423e-8163-2055ea44a79f,14
https://d-nb.info/gnd/4761241-1,4761241-1,"Montabaur, Schloss",https://www.deckenmalerei.eu/7442ace7-01c9-44db-9948-4791fb1897a7,14
https://d-nb.info/gnd/4612257-6,4612257-6,"Wiesbaden, Schloss Biebrich",https://www.deckenmalerei.eu/28ffd31a-a0d7-471b-b60f-d1cb1b2ae954,13
https://d-nb.info/gnd/4793163-2,4793163-2,"Schmidmühlen, Unteres Schloss (Hammerschloss)",https://www.deckenmalerei.eu/0656df8b-2e41-4cc6-b05e-4ac272ed2adf,13
https://d-nb.info/gnd/4079298-5,4079298-5,"Wies bei Steingaden, Wallfahrtskirche Wies",https://www.deckenmalerei.eu/771df5c8-7aed-4957-bea9-f3156c298e94,12
https://d-nb.info/gnd/4554389-6,4554389-6,"Oranienburg, Schloss Oranienburg",https://www.deckenmalerei.eu/2423043d-542c-4663-8594-bf918334b230,11
https://d-nb.info/gnd/4617250-6,4617250-6,"Dillingen, Fürstbischöfliche Residenz",https://www.deckenmalerei.eu/ea8bff90-c4bc-11e9-a787-75de7068cfba,11
https://d-nb.info/gnd/4686011-3,4686011-3,"Hamburg, Amtssitz Schloss Bergedorf",https://www.deckenmalerei.eu/a19349ee-6c08-4c4c-92d9-15bf72336c12,11
https://d-nb.info/gnd/1153152819,1153152819,"Balve, Haus Wocklum",https://www.deckenmalerei.eu/2a014d89-547e-46bc-8a8e-805ec8b82a8e,11
https://d-nb.info/gnd/4415339-9,4415339-9,"Aachen, Rathaus",https://www.deckenmalerei.eu/a66f2d11-ac0a-4502-b405-d33cc1b5fe96,10
https://d-nb.info/gnd/4122706-2,4122706-2,"München (Berg am Laim), Stadtpfarrkirche St. Michael",https://www.deckenmalerei.eu/b7d0659b-0b8f-4fce-a34d-8d3f45c82443,10
https://d-nb.info/gnd/4089992-5,4089992-5,"Braunschweig, Schloss Richmond",https://www.deckenmalerei.eu/45ff2470-c5a7-11e9-b229-6b499a37f581,10
