nfdi_uri,label,year,parentLabel,subjects
https://www.deckenmalerei.eu/13d8d0ee-6b63-4fa1-9128-6cb057f00ab5,"Kaufering, Kapelle St. Leonhard","um 1704, 1715, 1765",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1423d062-5fba-4059-9ff6-2e9a64e93965,"Augsburg, Höhmannhaus",Kern aus dem 16. Jhd.,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/14298b90-c2f3-4a4c-b135-05bc9d03384b,"Lenggries, Kapelle Maria Hilf","14. Jahrhundert, 1745",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/14c17291-5053-4ef7-ad67-3d65a57dd4c2,"Uetersen, Klosterkirche",,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/14eff821-c12c-4549-bc70-50df16b64c33,"Dreitzsch, ehem. Gut",,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/15155a24-3e04-44c2-a81b-ef984badca4b,"Güstrow, Mühlenstraße 48","Errichtet: 1539, Umbau 1606",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/1557f6e4-0585-420c-9177-eedd5e51583b,"Kassel, Orangerie",1704-1710,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/15678c43-2d36-43a6-b307-1318fb65b7c1,"Weilheim, Pfarrkirche St. Pölten","mittelalterlich, 1782",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/15730b3d-b76c-4e97-9143-6d63708f5c62,"Wilparting, Kapelle St. Vitus",17. Jahrhundert,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/15c970a4-afe5-4452-b9fb-f9649d71aa75,"Welden, Filialkirche St. Stephan","spätgotisch,  1780/84",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/15e53f4b-239b-41a2-8630-9732e8234fb5,"Adelshausen (Weil), Kapelle St. Martin",,,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/15f770b6-9059-4b45-902e-953657b557c2,"Wilparting, Wallfahrtskirche St. Marinus u. Anianus","15. Jahrhundert, 1724, 1759",,http://vocab.getty.edu/aat/300004792
https://www.deckenmalerei.eu/163c5eaf-096e-4e6a-b64d-8184b5b07019,"Potsdam, Residenzschloss ""Stadtschloss""",1662/64 - 1755,,http://vocab.getty.edu/aat/300004792
